Year,Season,City,Sport,Event,Athlete,Gender,Country,Medal,Age
2008,Summer,London,Badminton,Event_4,Caeleb Dressel,Male,Jamaica,Silver,20
2020,Summer,Rio,Gymnastics,Event_20,Sushil Kumar,Female,USA,Gold,24
2020,Summer,Rio,Swimming,Event_8,Mary Kom,Female,Australia,Gold,35
2020,Summer,London,Swimming,Event_10,Yuzuru Hanyu,Female,Australia,Gold,32
2008,Summer,Tokyo,Wrestling,Event_11,Caeleb Dressel,Female,Jamaica,Silver,22
2012,Summer,London,Badminton,Event_10,Yuzuru Hanyu,Male,China,Bronze,21
2008,Summer,London,Swimming,Event_13,P V Sindhu,Female,China,Silver,26
2020,Summer,Beijing,Gymnastics,Event_15,Simone Biles,Female,India,Gold,30
2016,Summer,Beijing,Wrestling,Event_7,Simone Biles,Male,Jamaica,Bronze,23
2008,Summer,Rio,Gymnastics,Event_11,Caeleb Dressel,Female,Japan,Gold,20
2008,Summer,London,Boxing,Event_16,Mary Kom,Male,China,Silver,25
2008,Summer,London,Wrestling,Event_1,Sushil Kumar,Male,India,Bronze,28
2012,Summer,Beijing,Badminton,Event_6,Usain Bolt,Female,China,Silver,28
2008,Summer,Tokyo,Swimming,Event_11,Caeleb Dressel,Female,Australia,Gold,27
2012,Summer,Tokyo,Boxing,Event_3,Sushil Kumar,Male,Jamaica,Gold,26
2016,Summer,London,Gymnastics,Event_16,Mirabai Chanu,Male,USA,Gold,26
2008,Summer,Tokyo,Gymnastics,Event_2,Caeleb Dressel,Male,China,Gold,35
2008,Summer,Tokyo,Boxing,Event_7,Mary Kom,Female,Japan,Gold,24
2012,Summer,Rio,Wrestling,Event_1,Sushil Kumar,Male,Jamaica,Gold,22
2020,Summer,Beijing,Athletics,Event_13,Caeleb Dressel,Female,India,Bronze,19
2020,Summer,Beijing,Badminton,Event_16,Usain Bolt,Male,China,Silver,30
2012,Summer,Rio,Boxing,Event_15,P V Sindhu,Female,Jamaica,Gold,21
2016,Summer,Tokyo,Badminton,Event_16,Neeraj Chopra,Male,Australia,Silver,27
2020,Summer,Tokyo,Swimming,Event_10,Sushil Kumar,Male,China,Gold,30
2012,Summer,Rio,Wrestling,Event_12,Yuzuru Hanyu,Female,UK,Bronze,25
2020,Summer,London,Athletics,Event_20,Simone Biles,Female,UK,Bronze,34
2016,Summer,Tokyo,Wrestling,Event_7,Michael Phelps,Male,Australia,Silver,35
2012,Summer,London,Boxing,Event_15,Wayde van Niekerk,Male,UK,Gold,30
2016,Summer,Rio,Boxing,Event_7,Serena Williams,Male,Australia,Gold,27
2012,Summer,London,Badminton,Event_1,Mary Kom,Male,Japan,Gold,19
2016,Summer,Tokyo,Athletics,Event_13,Wayde van Niekerk,Female,UK,Gold,27
2016,Summer,Tokyo,Athletics,Event_16,Mary Kom,Female,USA,Gold,18
2008,Summer,Rio,Wrestling,Event_14,Wayde van Niekerk,Female,Jamaica,Silver,26
2016,Summer,Beijing,Athletics,Event_8,Simone Biles,Female,China,Gold,27
2008,Summer,Rio,Badminton,Event_5,Neeraj Chopra,Male,Japan,Bronze,34
2016,Summer,Tokyo,Gymnastics,Event_4,Michael Phelps,Female,Australia,Silver,30
2012,Summer,Rio,Boxing,Event_12,Serena Williams,Male,India,Gold,28
2012,Summer,Tokyo,Swimming,Event_1,Mary Kom,Male,Australia,Silver,19
2016,Summer,Rio,Swimming,Event_4,Yuzuru Hanyu,Male,India,Gold,31
2020,Summer,Rio,Swimming,Event_15,Michael Phelps,Female,USA,Gold,33
2012,Summer,Rio,Athletics,Event_17,Caeleb Dressel,Female,China,Silver,31
2020,Summer,Rio,Wrestling,Event_2,Usain Bolt,Female,Australia,Silver,33
2012,Summer,Beijing,Badminton,Event_6,Usain Bolt,Male,UK,Silver,29
2008,Summer,Tokyo,Gymnastics,Event_20,Yuzuru Hanyu,Male,Jamaica,Silver,21
2008,Summer,Beijing,Gymnastics,Event_6,Sushil Kumar,Male,Jamaica,Silver,28
2016,Summer,London,Badminton,Event_5,Mary Kom,Male,UK,Bronze,25
2020,Summer,Beijing,Swimming,Event_10,Neeraj Chopra,Male,USA,Gold,34
2008,Summer,London,Badminton,Event_19,Caeleb Dressel,Female,USA,Silver,20
2020,Summer,Tokyo,Gymnastics,Event_4,Simone Biles,Female,USA,Silver,35
2008,Summer,Beijing,Athletics,Event_3,Mary Kom,Male,India,Bronze,25
2020,Summer,London,Badminton,Event_17,Yuzuru Hanyu,Female,China,Gold,28
2020,Summer,Rio,Gymnastics,Event_11,Simone Biles,Male,Jamaica,Gold,24
2008,Summer,Beijing,Swimming,Event_11,Mary Kom,Male,USA,Silver,32
2020,Summer,London,Swimming,Event_11,Wayde van Niekerk,Female,Australia,Bronze,27
2020,Summer,London,Gymnastics,Event_3,P V Sindhu,Male,Australia,Silver,20
2020,Summer,Tokyo,Swimming,Event_8,Caeleb Dressel,Female,Australia,Gold,29
2016,Summer,London,Wrestling,Event_7,Sushil Kumar,Male,Jamaica,Gold,35
